Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Price,Variant Compare At Price,Variant Inventory Qty,Image Src,Image Alt Text
classic-black-leather-watch,Classic Black Leather Watch,"<p>Elegant classic watch with genuine leather strap and stainless steel case. Perfect for business and formal occasions.</p>",TimeCraft,Watch,"classic,leather,black,formal,business",TRUE,Color,Black,WATCH001,89.99,129.99,25,https://images.unsplash.com/photo-1523275335684-37898b6baf30?w=500,Classic Black Leather Watch
sport-digital-watch,Sport Digital Watch,"<p>Water-resistant digital sports watch with multiple functions including stopwatch, alarm, and backlight.</p>",SportTime,Watch,"sport,digital,waterproof,fitness",TRUE,Color,Black,WATCH002,45.99,65.99,40,https://images.unsplash.com/photo-1524805444758-089113d48a6d?w=500,Sport Digital Watch
luxury-gold-watch,Luxury Gold Watch,"<p>Premium gold-plated watch with Swiss movement and sapphire crystal. A statement piece for special occasions.</p>",LuxTime,Watch,"luxury,gold,swiss,premium",TRUE,Color,Gold,WATCH003,299.99,399.99,8,https://images.unsplash.com/photo-1434056886845-dac89ffe9b56?w=500,Luxury Gold Watch
smart-fitness-watch,Smart Fitness Watch,"<p>Advanced smartwatch with heart rate monitoring, GPS tracking, and smartphone connectivity.</p>",TechWear,Watch,"smart,fitness,bluetooth,gps",TRUE,Color,Black,WATCH004,199.99,249.99,30,https://images.unsplash.com/photo-1523275335684-37898b6baf30?w=500,Smart Fitness Watch
vintage-brown-watch,Vintage Brown Watch,"<p>Retro-inspired watch with brown leather strap and vintage-style dial. Perfect for casual wear.</p>",RetroTime,Watch,"vintage,brown,retro,casual",TRUE,Color,Brown,WATCH005,79.99,99.99,20,https://images.unsplash.com/photo-1523170335258-f5c6a6f1c0c1?w=500,Vintage Brown Watch
diving-watch-blue,Diving Watch Blue,"<p>Professional diving watch with 200m water resistance, luminous hands, and rotating bezel.</p>",AquaTime,Watch,"diving,waterproof,blue,professional",TRUE,Color,Blue,WATCH006,159.99,199.99,15,https://images.unsplash.com/photo-1523275335684-37898b6baf30?w=500,Diving Watch Blue
minimalist-white-watch,Minimalist White Watch,"<p>Clean and simple white watch with minimalist design. Perfect for everyday wear.</p>",SimpleTime,Watch,"minimalist,white,simple,everyday",TRUE,Color,White,WATCH007,59.99,79.99,35,https://images.unsplash.com/photo-1523275335684-37898b6baf30?w=500,Minimalist White Watch
military-green-watch,Military Green Watch,"<p>Tactical military-style watch with green canvas strap and rugged design. Built for durability.</p>",TacticalTime,Watch,"military,green,tactical,durable",TRUE,Color,Green,WATCH008,119.99,149.99,25,https://images.unsplash.com/photo-1523275335684-37898b6baf30?w=500,Military Green Watch
rose-gold-elegant-watch,Rose Gold Elegant Watch,"<p>Elegant rose gold watch with mother-of-pearl dial and genuine leather strap.</p>",ElegantTime,Watch,"rose gold,elegant,mother of pearl,luxury",TRUE,Color,Rose Gold,WATCH009,249.99,329.99,12,https://images.unsplash.com/photo-1434056886845-dac89ffe9b56?w=500,Rose Gold Elegant Watch
chronograph-silver-watch,Chronograph Silver Watch,"<p>Professional chronograph watch with silver case and multiple sub-dials for precise timing.</p>",ProTime,Watch,"chronograph,silver,professional,timing",TRUE,Color,Silver,WATCH010,189.99,229.99,18,https://images.unsplash.com/photo-1523275335684-37898b6baf30?w=500,Chronograph Silver Watch
